,epic_number,Kpmag,R*,M*,FPP,parallax,P,Rp/R*,Rp_earth,max_k,shape,k2c_disp_x
1239,214254518,11.874,0.624,0.653,1.47E-02,11.3123,5.05903,0.0153,1.041373926404415,0.015324676469590319,0.9698132492497353,CANDIDATE
1333,220245303,11.821,0.775,0.8370000000000001,1.22E-03,6.6295,3.68034,0.0126,1.0651307599441842,0.012625346630877233,0.975064130731305,CANDIDATE
653,211491383,11.785,1.31,1.101,2.40E-03,2.7484,4.1454,0.0084,1.2002763832489298,0.00843650055647887,0.9832681570890712,CANDIDATE
1406,228801451,10.955,0.802,0.858,<1.00E-04,9.7229,0.58424,0.0143,1.2509532650789421,0.014815492022911736,0.9708016045490617,CANDIDATE
0,201111557,11.363,0.711,0.746,1.22E-03,10.2616,2.3023700000000002,0.0169,1.3106507627663408,0.016935637934319122,0.9666928027643517,CANDIDATE
421,206146957,11.379000000000001,0.902,0.956,5.22E-03,5.3613,5.76136,0.014,1.3774164092754897,0.014016378165638641,0.9723547302243888,CANDIDATE
82,201595106,11.677999999999999,0.932,0.98,1.55E-03,4.2803,0.877183,0.0138,1.4028966494724135,0.013974845035253022,0.9724355192760878,CANDIDATE
12,201211526,11.696,0.8909999999999999,0.9359999999999999,2.10E-03,4.6689,21.0702,0.017,1.6521797870839277,0.017004903655599413,0.9665588561186368,CANDIDATE
1291,217855533,10.043,1.47,1.203,1.24E-03,3.7493,21.5873,0.01113,1.7846094087580942,0.011133789279951446,0.9779776140447645,CANDIDATE
1234,214234110,11.624,0.985,1.032,2.47E-01,4.7808,4.63791,0.0174,1.8694599175302988,0.017406996740407334,0.965781645307775,CANDIDATE
1383,220679255,11.975,1.08,1.071,2.56E-02,3.0984,8.1332,0.0174,2.049763158307333,0.017408586601698542,0.965778573464087,CANDIDATE
1416,229004835,10.151,0.975,0.99,1.83E-02,8.1704,16.1404,0.0194,2.063179551904172,0.01940258645202574,0.9619334172585232,CANDIDATE
7,201166680,10.897,1.22,1.192,1.73E-03,3.7191,18.105,0.0157,2.0892488045029083,0.015707572175104073,0.9690706801732967,CANDIDATE
1064,212357477,10.215,0.9470000000000001,1.0,3.04E-03,8.8115,6.32667,0.0205,2.1175541227011183,0.020514263518251943,0.9597962238224316,CANDIDATE
978,212012119,11.753,0.727,0.76,2.26E-03,8.0727,3.2808599999999997,0.0268,2.125200376287609,0.026859293032367303,0.9476865171019674,CANDIDATE
1407,228801451,10.955,0.802,0.858,<1.00E-04,9.7229,8.32801,0.0248,2.169485382794249,0.02481709530070207,0.951567756989026,CANDIDATE
1013,212132195,11.67,0.6920000000000001,0.737,2.29E-03,9.4428,26.197,0.0313,2.3625505589438864,0.0313034464928129,0.9392934318230632,CANDIDATE
1208,212772313,10.470999999999998,1.12,0.972,3.23E-02,7.5414,37.361999999999995,0.02,2.443310703814616,0.02001669061333393,0.9607522292575469,CANDIDATE
468,206535016,11.644,0.777,0.815,1.92E-01,6.3045,20.3981,0.0304,2.576471137172512,0.03040190004927923,0.9409902096496032,CANDIDATE
510,210629082,11.58,1.45,1.256,2.09E-03,2.5584,27.3531,0.0193,3.0525022342076795,0.019309747441406865,0.9621121106908342,CANDIDATE
596,211401787,9.709,1.68,1.2,3.65E-03,6.217,13.7738,0.018,3.2984694501497307,0.018014873313934813,0.9646078386747118,CANDIDATE
920,211945201,10.115,1.41,1.143,1.64E-01,5.4753,19.491789999999998,0.038,5.8443119424279955,0.03800831984379141,0.9267668300587201,CANDIDATE
